Metric,Multipath-NADA,Aggregated-NADA,Improvement (%),Scenario
Jitter (seconds),9.111322857135931e-07,3.9259928592727275e-06,76.79230914642122,Hybrid Fiber-5G - Buffer_Aware
Estimated MOS (1-5),4.767189096051336,4.7661743845762405,0.021289852053652275,Hybrid Fiber-5G - Buffer_Aware
Throughput Stability (stddev),84.75677988213171,29.05189803373978,-191.74265923589016,Hybrid Fiber-5G - Buffer_Aware
Path Utilization Ratio (%),3.6023752821399184,,,Hybrid Fiber-5G - Buffer_Aware
Delivery Efficiency (%),0.0,0.0,,Hybrid Fiber-5G - Buffer_Aware
Buffer Length (ms),0.0,454.605,-100.0,Hybrid Fiber-5G - Buffer_Aware
Buffer Underruns,1.0,15.0,93.33333333333333,Hybrid Fiber-5G - Buffer_Aware
Throughput (Mbps),54.76486601818181,29.553548754999998,85.3072416858786,High-Speed Asymmetric - Dynamic RTT Weights
Delay (seconds),0.032002117499999996,0.0321106175,0.3378944674608155,High-Speed Asymmetric - Dynamic RTT Weights
Loss (%),0.0,0.0,,High-Speed Asymmetric - Dynamic RTT Weights
Jitter (seconds),4.4201263172430247e-07,2.17946236489e-06,79.71918951917247,High-Speed Asymmetric - Dynamic RTT Weights
Estimated MOS (1-5),4.8719573006166765,4.8713887717213975,0.011670776485329248,High-Speed Asymmetric - Dynamic RTT Weights
Throughput Stability (stddev),80.27492785972008,35.4299624218904,-126.5735619581753,High-Speed Asymmetric - Dynamic RTT Weights
Path Utilization Ratio (%),1.901557847853535,,,High-Speed Asymmetric - Dynamic RTT Weights
Delivery Efficiency (%),0.0,0.0,,High-Speed Asymmetric - Dynamic RTT Weights
Buffer Length (ms),676.235,815.325,-17.05945481863061,High-Speed Asymmetric - Dynamic RTT Weights
Buffer Underruns,2.0,12.0,83.33333333333334,High-Speed Asymmetric - Dynamic RTT Weights
Throughput (Mbps),66.93483555555555,29.553548754999998,126.48662639619963,High-Speed Asymmetric - Weighted Best Path
